image_name,actual_label_count,label_det_early_pred_count,label_det_early_match,label_det_early_abs_error,label_det_m_80e_pred_count,label_det_m_80e_match,label_det_m_80e_abs_error,label_det_m_45e_pred_count,label_det_m_45e_match,label_det_m_45e_abs_error
m001.jpg,3,0,0,3,0,0,3,3,1,0
m002.png,2,0,0,2,0,0,2,3,0,1
m003.jpg,4,0,0,4,1,0,3,4,1,0
m004.jpg,3,0,0,3,0,0,3,3,1,0
m005.jpg,3,0,0,3,0,0,3,4,0,1
m006.jpg,3,0,0,3,1,0,2,2,0,1
m007.jpg,2,0,0,2,0,0,2,2,1,0
m008.jpg,3,0,0,3,0,0,3,3,1,0
m009.jpg,4,0,0,4,0,0,4,4,1,0
m010.jpg,3,0,0,3,0,0,3,3,1,0
m011.jpg,4,0,0,4,0,0,4,4,1,0
m012.jpg,3,0,0,3,0,0,3,3,1,0
m013.jpg,4,0,0,4,0,0,4,4,1,0
m014.jpg,4,0,0,4,0,0,4,4,1,0
m015.jpg,3,0,0,3,0,0,3,3,1,0
m016.jpg,3,0,0,3,0,0,3,3,1,0
m017.jpg,4,0,0,4,0,0,4,4,1,0
m018.jpg,4,0,0,4,0,0,4,4,1,0
m019.jpg,4,0,0,4,0,0,4,4,1,0
m020.jpg,4,0,0,4,0,0,4,4,1,0
m021.jpg,3,0,0,3,0,0,3,3,1,0
m022.jpg,4,0,0,4,0,0,4,4,1,0
m023.jpg,4,0,0,4,0,0,4,4,1,0
m024.jpg,3,0,0,3,0,0,3,3,1,0
m025.png,2,0,0,2,0,0,2,2,1,0
m026.jpg,2,0,0,2,0,0,2,2,1,0
m027.jpg,3,0,0,3,0,0,3,3,1,0
m028.jpg,3,0,0,3,0,0,3,3,1,0
m029.jpg,3,0,0,3,0,0,3,3,1,0
m030.jpg,3,0,0,3,0,0,3,3,1,0
m031.jpg,3,0,0,3,0,0,3,3,1,0
m032.jpg,2,0,0,2,0,0,2,2,1,0
m033.png,2,0,0,2,0,0,2,2,1,0
m034.jpg,2,0,0,2,0,0,2,2,1,0
m035.png,4,0,0,4,0,0,4,4,1,0
m036.jpg,2,0,0,2,0,0,2,2,1,0
m037.jpg,4,0,0,4,0,0,4,4,1,0
m038.jpg,2,0,0,2,1,0,1,2,1,0
m039.jpg,2,0,0,2,0,0,2,2,1,0
m040.jpg,2,0,0,2,0,0,2,2,1,0
m041.jpg,2,0,0,2,0,0,2,2,1,0
m042.jpg,2,0,0,2,0,0,2,2,1,0
m043.jpg,2,0,0,2,0,0,2,2,1,0
m044.jpg,3,0,0,3,0,0,3,3,1,0
m045.jpg,2,0,0,2,0,0,2,2,1,0
m046.jpg,2,0,0,2,0,0,2,2,1,0
m047.jpg,2,0,0,2,0,0,2,2,1,0
m048.jpg,2,0,0,2,0,0,2,2,1,0
m049.jpg,3,0,0,3,0,0,3,3,1,0
m050.jpg,2,0,0,2,0,0,2,2,1,0
